 38.20 	 19.10 	 28.52 	  4.28 	
  5.00 	  0.00 	  0.00 	  0.00 	  5.00 	  0.00 	  0.00 	
  4.00 	  0.00 	  1.00 	  0.00 	  8.00 	  1.00 	  0.00 	
  2.00 	  0.00 	  0.00 	  1.00 	  5.00 	  2.00 	  1.00 	
  2.00 	  0.00 	  0.00 	  1.00 	  7.00 	  2.00 	  0.00 	
  1.00 	  0.00 	  1.00 	  0.00 	  8.00 	  1.00 	  0.00 	
  1.00 	  0.00 	  0.00 	  2.00 	  3.00 	  6.00 	  3.00 	
  2.00 	  0.00 	  0.00 	  0.00 	  1.00 	  1.00 	 12.00 	



 45.26 	 15.70 	 11.72 	 13.40 	 12.51 	 39.55 	 69.93 	
 85.71 	 55.56 	 50.00 	 63.64 	 72.73 	 77.78 	 92.31 	
  9.09 	  0.00 	  0.00 	  0.00 	  0.00 	 11.11 	 25.00 	
 15.82 	 15.38 	 10.84 	 14.37 	 16.23 	 15.43 	 13.39 	
